gwas_code	phenotype	phenotype_category	model	sample_size	cases	controls	hits	loci	path_sumstats
ASOE-UKBB-PANU-1-GWAS-PHEN_BC_ALT_AFR-1	Alanine Aminotransferase	Gastroenterology	linear	6214	0	0	72	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BC_ALB_AFR-1	Albumin	Gastroenterology	linear	5759	0	0	0	0	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BC_ALBGR_AFR-1	Albumin/Globulin ratio	Gastroenterology	linear	5765	0	0	2	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-AG-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BC_ALP_AFR-1	Alkaline Phosphatase	Gastroenterology	linear	6216	0	0	384	7	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BC_AST_AFR-1	Aspartate Aminotransferase	Gastroenterology	linear	6180	0	0	3	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_ASTHMA_AFR-1	Asthma	Pulmonary	logistic	6575	576	5999	0	0	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-495-both_sexes.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_PAIN_BACK_AFR-1	Back Pain	Neurology	logistic	2027	1352	675	9	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-3571-both_sexes-3571.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BMET_AFR-1	Basal metabolic rate	Anthropometric	linear	6458	0	0	5	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23105-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BC_BILIR_AFR-1	Bilirubin	Gastroenterology	linear	6176	0	0	1590	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30840-both_sexes-irnt.tsv.bgz
ASOE-UKBB-PANU-1-GWAS-PHEN_BP_D_AFR-1	Blood Pressure - Diastolic	Cardiovascular	linear	6551	0	0	0	0	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4079-both_sexes-irnt.tsv.bgz
