trait	cell_type	beta	pval	p_adj
INF_HIV	CD8..Tcm	1.040087161	3.58E-16	8.59E-14
SMOKER	CD4..Tcm	-0.826931716	2.16E-15	2.59E-13
OBESE	CD4..Tcm	0.680245258	2.61E-12	2.09E-10
INF_HIV	CD8..T.cells	0.712604865	2.28E-10	1.37E-08
INF_HIV	Tregs	-0.648198062	6.80E-09	3.26E-07
INF_HIV	CD4..T.cells	-0.571178574	2.33E-07	9.31E-06
OBESE	DC	-0.44495559	8.54E-07	2.93E-05
HTN	CD8..Tcm	-0.416197842	1.28E-06	3.85E-05
INF_HIV	Th2.cells	0.521977518	1.58E-06	4.22E-05
INF_HIV	CD8..Tem	0.460289343	1.18E-05	0.000283847
INF_HIV	Tgd.cells	0.448314796	1.81E-05	0.000394174
INF_HIV	CD4..Tem	-0.446008421	2.03E-05	0.000406026
INF_HIV	DC	0.421111495	5.63E-05	0.00096588
HTN	Th2.cells	-0.340312952	5.48E-05	0.00096588
INF_HIV	CD4..naive.T.cells	-0.414515953	7.44E-05	0.001191124
HTN	Neutrophils	0.331639424	8.18E-05	0.001227391
INF_HIV	CD8..naive.T.cells	0.399886445	0.000103617	0.001462828
HTN	CD8..T.cells	-0.323598324	0.000117987	0.001573166
SMOKER	Macrophages.M2	-0.32965578	0.000225418	0.002847391
SMOKER	CD4..Tem	0.326879452	0.000251734	0.003020807
SMOKER	CD8..naive.T.cells	0.320001415	0.000335065	0.003829312
INF_HIV	Macrophages.M2	0.360593097	0.000401376	0.004207338
OBESE	cDC	-0.310275897	0.000403203	0.004207338
HTN	CD8..naive.T.cells	-0.273690132	0.001003483	0.010034827
HTN	CLP	-0.272406036	0.001064157	0.010059669
OBESE	Plasma.cells	-0.284795113	0.001089797	0.010059669
HTN	CD4..memory.T.cells	-0.270459766	0.001143207	0.010161838
HTN	Tgd.cells	-0.256685819	0.001969722	0.016883332
ASTHMA	Class.switched.memory.B.cells	-0.577376168	0.002169158	0.017951656
SMOKER	CD4..memory.T.cells	0.270135267	0.002247239	0.017977909
OBESE	CMP	0.26310204	0.002456285	0.018487435
OBESE	CD8..Tcm	-0.263097304	0.002464991	0.018487435
INF_HIV	iDC	0.301888332	0.003207769	0.023329229
HTN	NKT	0.242500434	0.003381554	0.023869792
DIAB	Megakaryocytes	0.551047155	0.003761938	0.025079587
ASTHMA	B.cells	-0.542409	0.003732327	0.025079587
INF_HIV	Neutrophils	-0.293219567	0.003948904	0.02561451
OBESE	pDC	-0.246456043	0.004446105	0.028080665
SMOKER	Megakaryocytes	-0.248842554	0.004719745	0.028651321
INF_HIV	CD4..memory.T.cells	-0.291190977	0.00477522	0.028651321
ASTHMA	naive.B.cells	-0.526194403	0.005561456	0.032554863
OBESE	Th2.cells	-0.238989642	0.005741444	0.032808253
OBESE	Neutrophils	0.238201336	0.005956849	0.033247529
SMOKER	CD4..T.cells	0.23621966	0.00724513	0.039518892
OBESE	Megakaryocytes	0.230579392	0.007628215	0.040683814
ASTHMA	Memory.B.cells	-0.486170318	0.008566278	0.044693624
INF_HIV	NK.cells	0.264259186	0.009356654	0.047778661
ASTHMA	Macrophages.M2	-0.463680008	0.011595019	0.057975094
INF_HIV	NKT	-0.253381402	0.012867829	0.0630261
DIAB	Platelets	0.460833205	0.014298795	0.06599444
HTN	CD4..Tcm	0.20199471	0.014083867	0.06599444
HTN	CD8..Tem	-0.201499278	0.014249621	0.06599444
SMOKER	Plasma.cells	0.208451498	0.017329986	0.078475408
HTN	Macrophages.M2	-0.194797627	0.017733442	0.078815299
OBESE	Tgd.cells	-0.203606129	0.018127495	0.079101796
INF_HIV	Megakaryocytes	-0.234823511	0.020056802	0.085957722
HTN	DC	-0.189983902	0.020639266	0.086902175
INF_HIV	Macrophages.M1	0.230744744	0.022514545	0.093163635
DIAB	aDC	-0.425652155	0.023439832	0.095348467
SMOKER	Tregs	0.192810636	0.027481402	0.109925607
DIAB	CD4..Tcm	0.4042926	0.030547083	0.118539005
INF_HIV	Class.switched.memory.B.cells	-0.215898446	0.030622576	0.118539005
OBESE	iDC	-0.184098326	0.032149378	0.122473821
OBESE	CD8..naive.T.cells	-0.178810744	0.037447021	0.14042633
INF_HIV	Mast.cells	0.201397533	0.043394391	0.158121185
HTN	Basophils	-0.165209822	0.043483326	0.158121185
INF_HIV	Platelets	-0.199441525	0.048499864	0.172184665
DIAB	DC	-0.368742676	0.048785655	0.172184665
DIAB	CMP	0.365595465	0.050248171	0.174776245
OBESE	CD8..T.cells	-0.165265865	0.05388594	0.184751796
OBESE	GMP	-0.16389926	0.055723747	0.185745825
OBESE	aDC	-0.164499267	0.055518452	0.185745825
SMOKER	Platelets	-0.166030649	0.056684847	0.186361141
OBESE	CLP	-0.162107651	0.059031271	0.191452772
OBESE	Platelets	0.158132078	0.064739868	0.207167576
DIAB	MPP	0.332941933	0.075012417	0.236881317
ASTHMA	Platelets	0.320532022	0.086723537	0.26346391
SMOKER	CMP	-0.149870189	0.085133213	0.26346391
INF_HIV	Memory.B.cells	-0.171214248	0.086241744	0.26346391
HTN	Macrophages.M1	-0.134972092	0.097984539	0.293953617
ASTHMA	pro.B.cells	-0.293831598	0.112002514	0.328029723
DIAB	Monocytes	-0.295708081	0.112076822	0.328029723
ASTHMA	HSC	0.284218036	0.118789132	0.334208282
SMOKER	HSC	-0.135160228	0.119757968	0.334208282
INF_HIV	pro.B.cells	-0.157967127	0.117340114	0.334208282
DIAB	NKT	-0.292098785	0.116691598	0.334208282
OBESE	Class.switched.memory.B.cells	0.132108431	0.121863538	0.336175278
INF_HIV	Eosinophils	0.155394127	0.126806844	0.345836848
ASTHMA	CD4..Tem	0.270997549	0.134089656	0.357572416
HTN	cDC	-0.122504867	0.132657294	0.357572416
OBESE	Macrophages.M1	-0.127446717	0.137185303	0.361807392
ASTHMA	Tregs	0.267062585	0.139093978	0.362853855
ASTHMA	Megakaryocytes	0.26719824	0.142745736	0.368376093
HTN	Class.switched.memory.B.cells	0.11842944	0.145892991	0.372492744
HTN	Megakaryocytes	0.117322859	0.149658316	0.378084167
DIAB	Th2.cells	0.258996378	0.162289568	0.403170489
SMOKER	NK.cells	-0.121161384	0.162948073	0.403170489
DIAB	CD4..T.cells	0.251879612	0.175814544	0.416002572
DIAB	CD4..Tem	0.250815662	0.176801093	0.416002572
SMOKER	Macrophages.M1	0.11860447	0.171678494	0.416002572
HTN	Eosinophils	0.110883548	0.173213912	0.416002572
INF_HIV	B.cells	-0.13485067	0.176391813	0.416002572
INF_HIV	Erythrocytes	-0.131350902	0.189829521	0.442321215
DIAB	HSC	0.23961099	0.198573485	0.449600344
HTN	MPP	0.1048317	0.197574562	0.449600344
ASTHMA	Plasma.cells	-0.242738516	0.19825475	0.449600344
OBESE	CD4..Tem	0.102253991	0.230444375	0.512320634
OBESE	CD4..naive.T.cells	0.102197345	0.230544285	0.512320634
DIAB	GMP	0.219961911	0.234004835	0.515240004
HTN	CMP	0.096246139	0.236584547	0.516184467
DIAB	Eosinophils	0.219608204	0.240233782	0.517168
INF_HIV	naive.B.cells	-0.116925299	0.241345067	0.517168
ASTHMA	CD8..Tem	-0.207915376	0.246508807	0.523558528
HTN	CD4..Tem	-0.092865284	0.253255495	0.528533207
DIAB	CLP	-0.211691687	0.253109659	0.528533207
OBESE	Basophils	0.096190077	0.259146535	0.536165244
INF_HIV	CD4..Tcm	-0.111304103	0.26726303	0.548231856
ASTHMA	CD4..T.cells	0.208955758	0.269865511	0.548879005
ASTHMA	GMP	0.19923894	0.284433453	0.56090554
INF_HIV	CLP	0.106320108	0.286179539	0.56090554
HTN	Monocytes	0.086423825	0.287464089	0.56090554
HTN	Plasma.cells	-0.08745147	0.281867365	0.56090554
INF_HIV	CMP	-0.106263367	0.282616549	0.56090554
INF_HIV	cDC	0.105988237	0.293036841	0.56589625
OBESE	Tregs	0.089201513	0.29473763	0.56589625
INF_HIV	aDC	0.1029568	0.305687104	0.582261151
DIAB	Macrophages.M2	-0.190365516	0.30914583	0.584212593
DIAB	pro.B.cells	0.184686153	0.318775596	0.597704242
HTN	NK.cells	-0.080080756	0.324288886	0.60332816
ASTHMA	cDC	0.177507666	0.338215908	0.6243986
OBESE	CD8..Tem	-0.080118096	0.347270367	0.631400667
ASTHMA	Mast.cells	-0.17301026	0.345548153	0.631400667
OBESE	HSC	0.079451134	0.350719272	0.632876881
SMOKER	NKT	0.079789083	0.356536173	0.633842086
OBESE	Erythrocytes	0.078620974	0.356049809	0.633842086
ASTHMA	Basophils	-0.164749584	0.37140287	0.65541683
HTN	Platelets	0.071343826	0.379481609	0.6600131
HTN	Mast.cells	0.070519169	0.384994814	0.6600131
SMOKER	CLP	-0.075223632	0.385007642	0.6600131
DIAB	Tgd.cells	-0.160874364	0.383094193	0.6600131
DIAB	Neutrophils	0.156234551	0.397582855	0.668312102
ASTHMA	Eosinophils	0.155581308	0.400420504	0.668312102
HTN	pro.B.cells	-0.067793813	0.40356568	0.668312102
OBESE	CD4..memory.T.cells	-0.071517417	0.400869072	0.668312102
DIAB	CD4..naive.T.cells	-0.154373432	0.403771895	0.668312102
HTN	Erythrocytes	-0.066353142	0.413598732	0.679888327
SMOKER	Monocytes	0.069092406	0.425663154	0.694960252
HTN	HSC	0.063252857	0.435691187	0.70652625
ASTHMA	pDC	0.140456918	0.438670341	0.706583099
SMOKER	pDC	0.066125248	0.445609174	0.708855267
OBESE	Macrophages.M2	0.064875709	0.445988106	0.708855267
HTN	GMP	-0.061324455	0.449776947	0.710174127
ASTHMA	CLP	0.137640811	0.45350243	0.711376361
SMOKER	Mast.cells	-0.064072288	0.458717209	0.714883962
OBESE	MPP	0.061214922	0.471876228	0.730647063
SMOKER	CD8..Tem	-0.061292205	0.478598615	0.736305562
DIAB	CD4..memory.T.cells	0.128112283	0.488914315	0.746058479
DIAB	Erythrocytes	0.126592956	0.494414528	0.746058479
SMOKER	GMP	0.058602829	0.497964914	0.746058479
SMOKER	CD8..Tcm	-0.058274321	0.500480897	0.746058479
SMOKER	B.cells	-0.058453491	0.498956787	0.746058479
ASTHMA	NKT	0.119030484	0.5157563	0.764083408
OBESE	pro.B.cells	-0.051643636	0.543961083	0.798293565
ASTHMA	NK.cells	-0.107323675	0.545500603	0.798293565
ASTHMA	CD8..naive.T.cells	-0.105628372	0.549625024	0.799454581
SMOKER	aDC	-0.049794338	0.564545547	0.806493639
SMOKER	Erythrocytes	-0.050527402	0.558883358	0.806493639
DIAB	cDC	-0.106944544	0.562624121	0.806493639
ASTHMA	CD8..Tcm	0.102000597	0.573173888	0.813974753
ASTHMA	Monocytes	0.097142672	0.602109379	0.830495695
HTN	Memory.B.cells	-0.043262312	0.593776091	0.830495695
SMOKER	CD8..T.cells	-0.045231746	0.600772117	0.830495695
SMOKER	Memory.B.cells	-0.045651045	0.597440275	0.830495695
SMOKER	naive.B.cells	-0.045763132	0.596505523	0.830495695
SMOKER	pro.B.cells	0.042764269	0.620687571	0.832939163
OBESE	NKT	0.041211608	0.627862332	0.832939163
HTN	naive.B.cells	-0.041489603	0.608850383	0.832939163
DIAB	Macrophages.M1	-0.0901495	0.628174952	0.832939163
DIAB	pDC	-0.090200925	0.625031101	0.832939163
DIAB	iDC	-0.091809794	0.620883448	0.832939163
DIAB	CD8..Tem	-0.091871624	0.618763385	0.832939163
ASTHMA	Th2.cells	-0.08599049	0.633627411	0.83555263
SMOKER	Class.switched.memory.B.cells	-0.038535327	0.655963422	0.850979574
INF_HIV	HSC	-0.044699635	0.652501442	0.850979574
DIAB	CD8..naive.T.cells	-0.082332392	0.655828768	0.850979574
DIAB	Class.switched.memory.B.cells	0.081006377	0.660366869	0.852086283
HTN	iDC	0.033287171	0.681335651	0.874441477
ASTHMA	Tgd.cells	0.071340634	0.692914325	0.879891207
SMOKER	Th2.cells	0.034407722	0.69121162	0.879891207
OBESE	B.cells	0.03195245	0.706779511	0.892774119
DIAB	CD8..T.cells	-0.067302149	0.715501706	0.899059735
ASTHMA	CD4..naive.T.cells	-0.063993309	0.72432654	0.905408175
ASTHMA	Neutrophils	0.0606629	0.737424526	0.909673388
DIAB	NK.cells	-0.061580335	0.739109627	0.909673388
DIAB	naive.B.cells	-0.061676903	0.737916831	0.909673388
SMOKER	DC	0.027536844	0.749885401	0.91334909
SMOKER	MPP	0.02628983	0.761668382	0.91334909
SMOKER	CD4..naive.T.cells	0.026046527	0.763178074	0.91334909
OBESE	naive.B.cells	0.02370251	0.78016792	0.91334909
SMOKER	cDC	0.023545982	0.785173185	0.91334909
HTN	CD4..T.cells	0.02324209	0.774472821	0.91334909
HTN	pDC	-0.021950377	0.786507606	0.91334909
SMOKER	Basophils	-0.024704081	0.775044022	0.91334909
OBESE	NK.cells	-0.027151467	0.749708192	0.91334909
INF_HIV	MPP	-0.02986779	0.761436537	0.91334909
DIAB	Basophils	-0.049573522	0.78776359	0.91334909
DIAB	Plasma.cells	-0.050755442	0.783322467	0.91334909
ASTHMA	DC	0.04738699	0.795137501	0.917466347
DIAB	Tregs	-0.047162101	0.799014083	0.917528134
SMOKER	Neutrophils	0.020775637	0.809970898	0.925242795
HTN	Tregs	0.01872182	0.817297802	0.925242795
